,movieId,title,genres,year,abstract
0,1,Toy Story,"Adventure, Animation, Children, Comedy, Fantasy",1995,Movie not found on DBpedia by query title.
1,2,Jumanji,"Adventure, Children, Fantasy",1995,"Jumanji is a 1995 American family adventure film directed by Joe Johnston. It is an adaptation of the 1981 children's book of the same name by Chris Van Allsburg. The film was written by Greg Taylor, Jonathan Hensleigh, and Jim Strain, and stars Robin Williams, Kirsten Dunst, Bradley Pierce, David Alan Grier, Bonnie Hunt, Jonathan Hyde, and Bebe Neuwirth. The special effects were provided by Industrial Light & Magic for computer graphic elements and Amalgamated Dynamics for animatronics components. The film was dedicated to visual effects supervisor Stephen L. Price, who died before the film's release. The story centers on young Alan Parrish, who becomes trapped in a board game while playing with his best friend Sarah Whittle in 1969. Twenty-six years later in 1995, siblings Judy and Peter Shepherd find the game, begin playing and then unwittingly release the now-adult Alan. After tracking down Sarah, the quartet resolve to finish the game in order to reverse all of the destruction it has caused. The film was shot in Keene, New Hampshire, representing the story's fictional town of Brantford, New Hampshire. Additional filming took place in Vancouver, British Columbia. The film was released on December 15, 1995. Despite its lukewarm critical reception, it was a box office success, earning $262,797,249 worldwide on a budget of approximately $65 million and it became the 10th highest-grossing movie of 1995. In 2005, a spiritual sequel to Jumanji titled Zathura was released; it was also adapted from a Van Allsburg book. A continuation from the first film's story is currently in development with Dwayne Johnson, Kevin Hart, Jack Black and Karen Gillan cast to play as-of-yet unspecified roles."
2,3,Grumpier Old Men,"Comedy, Romance",1995,Movie not found on DBpedia by query title.
3,4,Waiting to Exhale,"Comedy, Drama, Romance",1995,Movie not found on DBpedia by query title.
4,5,Father of the Bride Part II,Comedy,1995,Movie not found on DBpedia by query title.
5,6,Heat,"Action, Crime, Thriller",1995,"Heat is a 1995 American crime film written, produced and directed by Michael Mann, and starring Robert De Niro, Al Pacino, and Val Kilmer. De Niro plays Neil McCauley, a professional thief, while Pacino plays Lt. Vincent Hanna, a veteran LAPD robbery-homicide detective tracking down McCauley's crew. The central conflict is based on the experiences of former Chicago police officer Chuck Adamson and his pursuit in the 1960s of a criminal named McCauley, after whom De Niro's character is named. Heat was a commercial success, grossing $67 million in the United States and $187 million worldwide (about $291 million in 2017) against a $60 million budget. It was well received by critics. The film-critic aggregator Rotten Tomatoes reports 86% positive reviews, calling the film ""an engrossing crime drama that draws compelling performances from its stars – and confirms Michael Mann's mastery of the genre."""
6,7,Sabrina,"Comedy, Romance",1995,"Sabrina (Sabrina Fair/""La Vie en Rose"" in the United Kingdom) is a 1954 American romantic comedy film directed by Billy Wilder, adapted for the screen by Wilder, Samuel A. Taylor, and Ernest Lehman from Taylor's play Sabrina Fair. It stars Humphrey Bogart, Audrey Hepburn, and William Holden. This was Wilder's last film released by Paramount Pictures, ending a 12-year business relationship with Wilder and the company. The film was selected for preservation in the United States National Film Registry by the Library of Congress in 2002."
7,8,Tom and Huck,"Adventure, Children",1995,Movie not found on DBpedia by query title.
8,9,Sudden Death,Action,1995,Movie not found on DBpedia by query title.
9,10,GoldenEye,"Action, Adventure, Thriller",1995,"GoldenEye (1995) is the seventeenth spy film in the James Bond series, and the first to star Pierce Brosnan as the fictional MI6 officer James Bond. The film was directed by Martin Campbell and is the first film in the series not to take story elements from the works of novelist Ian Fleming. The story was conceived and written by Michael France, with later collaboration by other writers. In the film, Bond fights to prevent an ex-MI6 agent, gone rogue, from using a satellite against London to cause global financial meltdown. GoldenEye was released in 1995 after a six-year hiatus in the series caused by legal disputes, during which Timothy Dalton resigned from the role of James Bond and was replaced by Pierce Brosnan. M was also recast, with actress Judi Dench becoming the first woman to portray the character, replacing Robert Brown. The role of Miss Moneypenny was also recast, with Caroline Bliss being replaced by Samantha Bond; Desmond Llewelyn was the only actor to reprise his role as Q. GoldenEye was the first Bond film made after the dissolution of the Soviet Union and the end of the Cold War, which provided a background for the plot. The film accumulated a worldwide gross of US$350.7 million, considerably better than Dalton's films, without taking inflation into account. The film received positive reviews, with critics viewing Brosnan as a definite improvement over his predecessor. The film also received award nominations for ""Best Achievement in Special Effects"" and ""Best Sound"" from the British Academy of Film and Television Arts. The name ""GoldenEye"" pays homage to James Bond's creator, Ian Fleming. While working for British Naval Intelligence as a lieutenant commander, Ian Fleming liaised with the American OSS to monitor developments in Spain after the Spanish Civil War in an operation codenamed Operation Goldeneye. Fleming used the name of his operation for his estate in Oracabessa, Jamaica."
10,11,"American President, The","Comedy, Drama, Romance",1995,Movie not found on DBpedia by query title.
11,12,Dracula: Dead and Loving It,"Comedy, Horror",1995,Movie not found on DBpedia by query title.
12,13,Balto,"Adventure, Animation, Children",1995,"Balto (1919 – March 14, 1933) was a black and white Siberian husky and sled dog who led his team on the final leg of the 1925 serum run to Nome, in which diphtheria antitoxin was transported from Anchorage, Alaska, to Nenana, Alaska, by train and then to Nome by dog sled to combat an outbreak of the disease. Balto was named after the Sami explorer Samuel Balto. Balto died of old age at age 14."
13,14,Nixon,Drama,1995,"Nixon is a 1995 American epic biographical film directed by Oliver Stone for Cinergi Pictures that tells the story of the political and personal life of former U.S. President Richard Nixon, played by Anthony Hopkins. The film portrays Nixon as a complex and, in many respects, admirable, though deeply flawed, person. Nixon begins with a disclaimer that the film is ""an attempt to understand the truth [...] based on numerous public sources and on an incomplete historical record."" The cast includes Joan Allen, Annabeth Gish, Marley Shelton, Powers Boothe, J. T. Walsh, E. G. Marshall, James Woods, Paul Sorvino, Bob Hoskins, Larry Hagman, and David Hyde Pierce, plus cameos by Ed Harris, Joanna Going, and political figures such as President Bill Clinton in TV footage from the Nixon funeral service. The film didn't perform well at box office, but became a critical success and was nominated for four Academy Awards: Best Actor (Anthony Hopkins), Best Supporting Actress (Joan Allen), Best Original Score and Best Original Screenplay. This was Stone's second of three films about the American presidency, made four years after JFK about the assassination of John F. Kennedy and followed thirteen years later by W., the story of George W. Bush."
14,15,Cutthroat Island,"Action, Adventure, Romance",1995,Movie not found on DBpedia by query title.
