,movieId,title,genres,year,abstract
9000,139857,Colonia,Thriller,2016,"Colonia, also known as The Colony, is a 2015 historical romantic thriller film directed by Oscar-winner Florian Gallenberger, produced by Benjamin Herrmann, written by Torsten Wenzel and Gallenberger, and starring Emma Watson, Daniel Brühl, and Michael Nyqvist. The film is set against the backdrop of the 1973 Chilean military coup and the real ""Colonia Dignidad"", a notorious cult in the South of Chile, led by German lay preacher Paul Schäfer. The film is an international co-production of companies in Germany, Luxembourg, and France. Principal photography began on 2 October 2014 in Luxembourg; filming also took place in Germany and Argentina. It was shown in the Special Presentations section of the 2015 Toronto International Film Festival."
9001,139859,Ghost in the Shell Arise - Border 2: Ghost Whispers,"Action, Animation, Sci-Fi, Thriller",2013,Movie not found on DBpedia by query title.
9002,139915,How to Make Love Like an Englishman,"Comedy, Romance",2014,Movie not found on DBpedia by query title.
9003,139994,Fracchia contro Dracula,"Comedy, Horror",1985,Movie not found on DBpedia by query title.
9004,140016,Always Watching: A Marble Hornets Story,Horror,2015,Movie not found on DBpedia by query title.
9005,140038,Madly in Love,Comedy,1981,Movie not found on DBpedia by query title.
9006,140110,The Intern,Comedy,2015,Movie not found on DBpedia by query title.
9007,140133,Hollywood Chainsaw Hookers,"Comedy, Horror",1988,Movie not found on DBpedia by query title.
9008,140162,Love,"Drama, Romance",2015,Love is a 1919 American short comedy film directed by and starring Fatty Arbuckle. Prints of the film survive in collections.
9009,140174,Room,Drama,2015,"Room is a 2005 independent drama film written and directed by Kyle Henry and starring Cyndi Williams. An overworked, middle-aged Texas woman embezzles from her employer and abandons her family to seek out a mysterious room that has been appearing to her in visions during seizure-like attacks."
9010,140237,The Runner,Drama,2015,Movie not found on DBpedia by query title.
9011,140247,The Gift,"Drama, Horror",2015,Movie not found on DBpedia by query title.
9012,140265,George Carlin: Jammin' in New York,Comedy,1992,Movie not found on DBpedia by query title.
9013,140267,The Witch,Horror,2015,Movie not found on DBpedia by query title.
9014,140289,Men & Chicken,"Comedy, Drama",2015,Movie not found on DBpedia by query title.
9015,140301,The Escort,"Comedy, Romance",2015,Movie not found on DBpedia by query title.
9016,140359,Doctor Who: The Waters of Mars,"Adventure, Children, Sci-Fi",2009,Movie not found on DBpedia by query title.
9017,140481,"Family Guy Presents: Something, Something, Something, Dark Side","Animation, Comedy, Sci-Fi",2009,Movie not found on DBpedia by query title.
9018,140523,"Visit, The","Comedy, Horror",2015,Movie not found on DBpedia by query title.
9019,140525,Secret in Their Eyes,"Crime, Drama, Mystery",2015,Movie not found on DBpedia by query title.
9020,140541,The Electric Hotel,"Animation, Comedy, Sci-Fi",1908,Movie not found on DBpedia by query title.
9021,140561,Jeff Ross Roasts Criminals: Live at Brazos County Jail,"Comedy, Documentary",2015,Movie not found on DBpedia by query title.
9022,140627,Battle For Sevastopol,"Drama, Romance, War",2015,Movie not found on DBpedia by query title.
